Month,Orders
2016-01-01,4750
2016-02-01,4625
2016-03-01,4912
2016-04-01,4876
2016-05-01,5154
2016-06-01,5186
2016-07-01,5629
2016-08-01,6021
2016-09-01,5654
2016-10-01,6031
2016-11-01,7640
2016-12-01,7084
2017-01-01,5354
2017-02-01,4812
2017-03-01,5583
2017-04-01,6006
2017-05-01,5472
2017-06-01,5997
2017-07-01,5605
2017-08-01,5759
2017-09-01,5840
2017-10-01,6913
2017-11-01,7700
2017-12-01,7894
2018-01-01,6015
2018-02-01,5635
2018-03-01,5386
2018-04-01,6247
2018-05-01,6624
2018-06-01,6951
2018-07-01,6419
2018-08-01,6772
2018-09-01,6889
2018-10-01,7481
2018-11-01,9917
2018-12-01,8287
2019-01-01,6660
2019-02-01,6730
2019-03-01,6774
2019-04-01,7178
2019-05-01,7490
2019-06-01,7762
2019-07-01,7322
2019-08-01,7841
2019-09-01,8877
2019-10-01,8015
2019-11-01,10974
2019-12-01,9812
2020-01-01,7192
2020-02-01,8060
2020-03-01,8225
2020-04-01,7532
2020-05-01,8371
2020-06-01,8965
2020-07-01,8726
2020-08-01,9107
2020-09-01,9127
2020-10-01,10253
2020-11-01,12726
2020-12-01,10478
2021-01-01,8474
2021-02-01,7786
2021-03-01,8868
2021-04-01,8442
2021-05-01,9015
2021-06-01,9586
2021-07-01,10433
2021-08-01,10487
2021-09-01,9480
2021-10-01,10519
2021-11-01,13591
2021-12-01,10843
2022-01-01,9119
2022-02-01,8914
2022-03-01,10628
2022-04-01,10581
2022-05-01,10251
2022-06-01,10626
2022-07-01,10906
2022-08-01,12015
2022-09-01,11204
2022-10-01,12133
2022-11-01,14956
2022-12-01,13588
2023-01-01,10377
2023-02-01,9393
2023-03-01,11031
2023-04-01,11072
2023-05-01,12557
2023-06-01,12654
2023-07-01,12382
2023-08-01,12784
2023-09-01,12615
2023-10-01,14741
2023-11-01,16395
2023-12-01,15875
2024-01-01,10884
2024-02-01,11484
2024-03-01,11173
2024-04-01,11272
2024-05-01,12876
2024-06-01,12911
2024-07-01,14025
2024-08-01,15738
2024-09-01,13718
2024-10-01,14930
2024-11-01,18596
2024-12-01,17684
