indice_tiempo;idempresa;cuit;empresa;direccion;localidad;provincia;region;idproducto;producto;idtipohorario;tipohorario;precio;fecha_vigencia;idempresabandera;empresabandera;latitud;longitud;geojson
1/3/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;19;Gas Oil Grado 2;2;Diurno;938;6/3/2024 16:23;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/3/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;19;Gas Oil Grado 2;3;Nocturno;938;6/3/2024 16:23;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/3/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;21;Gas Oil Grado 3;2;Diurno;1137;6/3/2024 16:23;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/3/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;21;Gas Oil Grado 3;3;Nocturno;1137;6/3/2024 16:23;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/2/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;6;GNC;2;Diurno;2999;10/2/2024 09:15;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/2/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;6;GNC;3;Nocturno;2999;10/2/2024 09:15;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/3/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;3;Nafta (premium) de más de 95 Ron;2;Diurno;1103;6/3/2024 16:23;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/3/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;3;Nafta (premium) de más de 95 Ron;3;Nocturno;1103;6/3/2024 16:23;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/3/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;900;6/3/2024 16:22;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/3/2024;1376;33-64337382-9;10 DE SETIEMBRE S.A.;Av. Mosconi 299;LOMAS DEL MIRADOR;BUENOS AIRES;PAMPEANA;2;Nafta (súper) entre 92 y 95 Ron;3;Nocturno;900;6/3/2024 16:22;28;PUMA;-34,658476;-58,529443;"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}"
1/2/2024;10677;30-71752323-3;1263 S.R.L.;UTA NAC. 3 KM. 1258 (COLECTORA CALLE 102 Nº 321) 321;SIERRA GRANDE;RIO NEGRO;;19;Gas Oil Grado 2;2;Diurno;838;7/2/2024 12:58;28;PUMA;-41,60707;-65,35383;"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}"
1/2/2024;10677;30-71752323-3;1263 S.R.L.;UTA NAC. 3 KM. 1258 (COLECTORA CALLE 102 Nº 321) 321;SIERRA GRANDE;RIO NEGRO;;19;Gas Oil Grado 2;3;Nocturno;838;7/2/2024 12:58;28;PUMA;-41,60707;-65,35383;"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}"
1/2/2024;10677;30-71752323-3;1263 S.R.L.;UTA NAC. 3 KM. 1258 (COLECTORA CALLE 102 Nº 321) 321;SIERRA GRANDE;RIO NEGRO;;21;Gas Oil Grado 3;2;Diurno;1024;7/2/2024 12:59;28;PUMA;-41,60707;-65,35383;"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}"
1/2/2024;10677;30-71752323-3;1263 S.R.L.;UTA NAC. 3 KM. 1258 (COLECTORA CALLE 102 Nº 321) 321;SIERRA GRANDE;RIO NEGRO;;21;Gas Oil Grado 3;3;Nocturno;1024;7/2/2024 12:59;28;PUMA;-41,60707;-65,35383;"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}"
1/2/2024;10677;30-71752323-3;1263 S.R.L.;UTA NAC. 3 KM. 1258 (COLECTORA CALLE 102 Nº 321) 321;SIERRA GRANDE;RIO NEGRO;;3;Nafta (premium) de más de 95 Ron;2;Diurno;799;7/2/2024 13:00;28;PUMA;-41,60707;-65,35383;"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}"
1/2/2024;10677;30-71752323-3;1263 S.R.L.;UTA NAC. 3 KM. 1258 (COLECTORA CALLE 102 Nº 321) 321;SIERRA GRANDE;RIO NEGRO;;3;Nafta (premium) de más de 95 Ron;3;Nocturno;799;7/2/2024 13:00;28;PUMA;-41,60707;-65,35383;"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}"
1/2/2024;10677;30-71752323-3;1263 S.R.L.;UTA NAC. 3 KM. 1258 (COLECTORA CALLE 102 Nº 321) 321;SIERRA GRANDE;RIO NEGRO;;2;Nafta (súper) entre 92 y 95 Ron;2;Diurno;645;21/2/2024 11:33;28;PUMA;-41,60707;-65,35383;"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}"
