Size_sqft,Bedrooms,Age_years,Distance_to_city_center_km,Price_usd
1649,2,15,10.29104359," $253,187 "
1458,3,29,4.285148511," $227,511 "
1694,2,24,11.7889368," $234,821 "
1956,2,2,12.80392263," $293,394 "
1429,4,24,15.41525622," $227,207 "
1429,3,28,15.26901026," $212,784 "
1973,4,17,3.11165316," $319,029 "
1730,4,13,5.3108748," $284,962 "
1359,3,17,12.57517634," $220,451 "
1662,2,1,12.56892975," $250,015 "
1360,2,21,12.57523843," $200,095 "
1360,3,2,29.26365745," $201,114 "
1572,2,15,12.85445255," $228,768 "
926,3,28,15.6778282," $141,809 "
982,3,8,14.77000882," $164,384 "
1331,4,3,13.25695626," $232,128 "
1196,3,0,8.423653777," $214,031 "
1594,4,3,13.7948461," $263,115 "
1227,2,0,6.135873927," $204,733 "
1076,2,13,8.815906966," $159,081 "
1939,2,20,7.573182261," $290,518 "
1432,2,15,10.4093707," $211,089 "
1520,4,19,21.57329283," $232,196 "
1072,2,23,0.663674037," $167,687 "
1336,3,7,13.43130095," $203,186 "
1533,3,6,1.936420644," $274,137 "
1154,3,2,7.640340671," $183,799 "
1612,4,16,15.44475298," $241,413 "
1319,2,0,10.3214001," $219,109 "
1412,2,15,4.61127611," $223,105 "
1319,2,11,6.423481454," $208,867 "
2055,4,26,13.39798874," $320,335 "
1495,3,18,6.348166841," $233,379 "
1182,3,21,11.08229295," $170,445 "
1746,2,22,10.2278592," $254,830 "
1133,3,21,6.741998262," $169,636 "
1562,3,13,20.71972045," $242,931 "
912,4,29,13.16959511," $138,959 "
1101,4,5,0," $192,895 "
1559,4,5,10.93227157," $255,703 "
1721,4,12,6.691067676," $285,988 "
1551,2,18,14.26216667," $218,350 "
1465,4,21,6.037396308," $228,690 "
1409,3,7,9.426317793," $228,760 "
1056,2,26,12.52493639," $147,524 "
1284,3,26,14.32877597," $182,401 "
1361,3,1,3.998517965," $224,641 "
1817,3,20,8.327493821," $280,543 "
1603,4,29,7.625273444," $235,143 "
971,4,0,6.733353837," $164,842 "
1597,2,27,18.8272712," $211,938 "
1384,2,14,12.02490855," $202,240 "
1296,4,0,3.695580228," $233,813 "
1683,3,4,14.58930974," $279,414 "
1809,2,27,20.61078099," $257,715 "
1779,4,28,15.1623263," $267,688 "
1248,4,15,2.40315017," $212,606 "
1407,4,18,7.578829636," $219,045 "
1599,3,3,16.33455575," $250,930 "
1792,4,2,6.461652672," $297,851 "
1356,4,16,12.21909714," $221,608 "
1444,4,16,13.87317027," $221,654 "
1168,4,11,5.365347642," $206,228 "
1141,2,27,9.70237322," $175,175 "
1743,2,29,0," $257,162 "
1906,4,28,4.878061793," $302,639 "
1478,3,13,8.737159243," $239,464 "
1801,2,20,3.76108409," $266,376 "
1608,4,5,18.16205652," $261,278 "
1306,2,2,2.84929311," $211,576 "
1608,2,27,7.799777567," $232,776 "
1961,3,8,10.65370289," $299,366 "
1489,4,4,17.20636645," $243,188 "
1969,4,23,2.820689244," $319,109 "
714,3,28,15.81581876," $113,395 "
1746,3,16,10.05116531," $278,641 "
1526,4,13,5.092456745," $274,939 "
1410,4,20,12.31051737," $215,516 "
1527,3,2,10.99529848," $255,177 "
903,2,27,6.998915614," $128,684 "
