Age,Income,Loan_Amount,Has_Credit_Card,Default
56," $1,064 "," $3,755 ",0,1
69," $9,006 "," $4,718 ",1,1
46," $3,568 "," $4,996 ",0,0
32," $6,463 "," $1,266 ",0,1
60," $3,027 "," $4,889 ",0,1
25," $3,695 "," $2,827 ",1,0
38," $6,258 "," $3,431 ",0,1
56," $6,618 ", $697 ,1,0
36," $7,736 "," $2,430 ",0,1
40," $1,391 "," $4,082 ",0,0
28," $6,892 "," $1,108 ",0,0
28," $4,561 "," $3,772 ",1,0
41," $7,184 "," $1,647 ",0,0
53," $4,099 "," $4,782 ",0,0
57," $7,278 "," $3,897 ",1,0
41," $9,392 "," $3,011 ",0,0
20," $4,104 "," $2,294 ",1,0
39," $8,215 "," $1,159 ",1,0
19," $3,454 "," $3,311 ",0,0
41," $9,996 "," $1,869 ",1,1
61," $3,731 "," $2,486 ",0,0
47," $9,154 ", $646 ,1,1
55," $6,056 "," $3,719 ",1,0
19," $9,110 "," $3,411 ",0,1
38," $4,840 "," $2,234 ",1,0
50," $2,028 "," $2,343 ",1,1
29," $8,385 ", $988 ,1,0
39," $1,502 "," $3,476 ",1,1
61," $7,910 "," $2,459 ",1,0
42," $7,938 "," $2,885 ",0,0
66," $5,488 "," $3,419 ",1,1
44," $1,206 "," $2,302 ",0,1
59," $6,134 "," $4,561 ",1,0
45," $6,977 "," $3,869 ",0,1
33," $8,721 ", $762 ,0,1
32," $8,035 "," $1,123 ",1,1
64," $2,484 "," $1,516 ",1,1
68," $8,858 "," $4,143 ",1,0
61," $1,863 "," $2,549 ",0,1
69," $3,790 "," $4,223 ",1,0
20," $8,408 "," $3,608 ",0,1
54," $9,755 "," $4,590 ",0,0
68," $6,116 "," $2,556 ",0,1
24," $7,019 "," $3,670 ",1,0
38," $2,757 "," $2,182 ",1,0
26," $8,574 "," $2,755 ",0,0
56," $7,374 "," $1,654 ",0,0
35," $7,892 "," $4,999 ",1,0
21," $2,678 "," $3,691 ",0,1
42," $4,242 "," $2,196 ",1,0
31," $5,636 "," $4,491 ",0,0
67," $2,059 "," $2,148 ",1,0
26," $7,668 "," $1,945 ",0,1
43," $4,157 "," $4,699 ",1,1
19," $6,915 "," $4,423 ",0,0
37," $3,693 ", $753 ,1,0
45," $4,627 "," $3,683 ",1,1
64," $6,450 "," $3,057 ",0,0
24," $2,663 ", $598 ,0,1
61," $6,592 "," $2,700 ",1,0
25," $8,392 "," $3,461 ",0,1
64," $2,306 "," $4,933 ",1,1
52," $7,776 "," $4,277 ",0,1
31," $6,864 "," $3,369 ",1,0
34," $8,526 "," $3,734 ",1,0
53," $9,901 "," $4,291 ",1,0
67," $6,575 "," $1,456 ",1,0
57," $6,530 "," $4,567 ",1,0
21," $5,413 ", $660 ,1,0
19," $4,748 "," $4,993 ",0,0
23," $1,663 "," $1,800 ",0,1
59," $2,998 "," $4,487 ",0,1
21," $8,994 "," $2,027 ",1,0
46," $2,495 "," $1,718 ",1,1
35," $4,304 "," $4,996 ",1,0
43," $4,763 "," $3,604 ",1,0
61," $6,232 "," $3,235 ",0,1
51," $2,853 "," $1,454 ",0,0
27," $7,585 "," $3,946 ",1,0
53," $2,291 "," $1,545 ",0,0
31," $4,581 "," $2,193 ",0,1
48," $8,554 "," $3,936 ",1,1
65," $8,280 "," $1,062 ",0,0
32," $2,636 "," $2,985 ",1,0
25," $4,696 "," $3,854 ",0,1
31," $1,698 ", $725 ,1,0
40," $5,737 "," $1,459 ",1,0
57," $1,854 "," $3,567 ",1,0
38," $9,164 "," $1,315 ",1,0
33," $6,855 "," $3,620 ",0,0
62," $8,392 ", $516 ,1,0
35," $7,528 "," $1,743 ",1,0
64," $6,249 "," $2,705 ",1,0
41," $6,172 "," $3,024 ",0,0
43," $2,707 "," $1,569 ",1,0
42," $6,791 "," $3,944 ",0,1
62," $6,535 "," $3,065 ",1,0
58," $5,931 "," $1,560 ",0,0
46," $4,510 "," $2,827 ",0,1
32," $1,202 "," $3,920 ",1,1
