churn,tenure_months,monthly_charges,total_services,support_calls_last90d,late_payments_12m,downtime_hrs_6m,contract,internet,payment_method,support_tier,promo_status
0,5.2,91.13,3,1,1,3.75,month-to-month,fiber,bank_transfer,basic,never
0,22.0,19.04,2,3,2,3.22,one-year,fiber,credit_card,basic,never
0,25.8,77.94,2,1,0,2.06,month-to-month,fiber,electronic_check,basic,never
0,6.8,91.52,1,4,1,0.6,one-year,fiber,bank_transfer,plus,never
0,18.7,54.31,1,2,1,0.0,two-year,none,bank_transfer,plus,past
1,27.1,31.99,3,4,0,3.03,month-to-month,fiber,credit_card,basic,never
0,32.6,90.45,2,3,2,2.87,month-to-month,fiber,electronic_check,plus,never
0,2.4,58.53,3,2,0,1.81,month-to-month,fiber,credit_card,basic,never
0,15.0,47.18,2,3,2,2.6,month-to-month,fiber,electronic_check,basic,past
0,24.7,77.01,2,2,2,3.1,month-to-month,fiber,bank_transfer,basic,past
0,18.6,64.6,1,2,1,3.98,one-year,fiber,credit_card,basic,past
1,18.4,106.65,2,1,0,5.54,one-year,fiber,bank_transfer,plus,never
0,19.2,66.33,1,3,0,2.72,month-to-month,dsl,bank_transfer,plus,past
0,8.4,56.6,2,1,0,2.34,month-to-month,dsl,electronic_check,plus,past
0,26.8,50.79,3,3,1,2.08,month-to-month,dsl,electronic_check,basic,never
1,3.7,88.18,4,3,0,2.52,two-year,fiber,credit_card,basic,past
1,43.3,57.09,3,1,1,3.48,month-to-month,fiber,electronic_check,basic,past
0,4.8,100.66,1,4,1,2.06,month-to-month,none,electronic_check,basic,current
0,2.0,109.39,3,2,0,3.64,two-year,dsl,electronic_check,plus,never
0,13.3,116.78,2,2,0,1.13,month-to-month,fiber,electronic_check,basic,never
0,4.4,99.5,1,2,1,1.5,month-to-month,none,electronic_check,basic,never
0,5.4,63.47,2,2,0,1.76,two-year,dsl,electronic_check,basic,never
1,37.6,111.28,2,6,1,0.6,month-to-month,fiber,electronic_check,basic,past
0,3.1,63.15,1,3,2,3.0,month-to-month,none,bank_transfer,basic,current
0,7.7,76.16,3,1,0,2.11,two-year,fiber,electronic_check,basic,current
1,9.5,82.22,2,3,0,1.83,month-to-month,dsl,electronic_check,basic,never
1,3.4,96.96,2,1,0,2.21,month-to-month,fiber,electronic_check,plus,never
0,7.5,40.77,3,2,0,0.76,one-year,dsl,electronic_check,plus,past
0,7.1,66.7,2,2,0,2.18,one-year,none,electronic_check,basic,current
0,23.5,68.45,4,2,0,1.22,month-to-month,fiber,electronic_check,premium,never
0,8.1,80.71,1,2,0,3.77,month-to-month,fiber,electronic_check,plus,past
0,39.6,33.32,2,1,0,2.13,month-to-month,fiber,electronic_check,plus,never
0,16.0,61.05,3,3,2,1.0,month-to-month,fiber,electronic_check,plus,past
0,2.3,74.3,2,3,0,1.71,month-to-month,dsl,bank_transfer,basic,current
0,42.6,82.27,3,2,0,1.75,month-to-month,none,electronic_check,plus,past
0,1.8,88.78,3,1,2,3.45,one-year,fiber,electronic_check,premium,past
0,40.9,91.62,2,3,2,0.61,one-year,none,electronic_check,basic,current
0,13.0,109.84,1,2,2,4.42,month-to-month,dsl,bank_transfer,basic,never
0,31.9,44.41,0,1,1,1.55,month-to-month,none,electronic_check,plus,never
